	BigramCount	IDFUnigramCount	Label	LemmaCount	Question	QuestionID	Sentence	SentenceID	TrigramCount	Type	UnigramCount
0	0.0	0.2231435513142097	0.0	2.0	how are glacier caves formed	Q1	a partly submerged glacier cave on perito moreno glacier 	D1-0	0.0	train	1.0
1	0.0	0.0	0.0	0.0	how are glacier caves formed	Q1	the ice facade is approximately 60 m high	D1-1	0.0	train	0.0
2	0.0	0.2231435513142097	0.0	2.0	how are glacier caves formed	Q1	ice formations in the titlis glacier cave	D1-2	0.0	train	1.0
3	0.0	1.83258146374831	1.0	3.0	how are glacier caves formed	Q1	a glacier cave is a cave formed within the ice of a glacier 	D1-3	0.0	train	2.0
4	1.0	1.83258146374831	0.0	2.0	how are glacier caves formed	Q1	glacier caves are often called ice caves  but this term is properly used to describe bedrock caves that contain yearround ice	D1-4	0.0	train	2.0
5	0.0	0.35667494393873267	1.0	1.0	how much is 1 tablespoon of water	Q16	this tablespoon has a capacity of about 15 ml	D16-0	0.0	train	1.0
6	0.0	0.0	0.0	0.0	how much is 1 tablespoon of water	Q16	measuring spoons	D16-1	0.0	train	0.0
7	0.0	0.35667494393873267	0.0	1.0	how much is 1 tablespoon of water	Q16	in the us and parts of canada a tablespoon is the largest type of spoon used for eating from a bowl	D16-2	0.0	train	1.0
8	0.0	0.35667494393873267	0.0	1.0	how much is 1 tablespoon of water	Q16	in the uk europe and most commonwealth countries a tablespoon is a type of large spoon usually used for serving	D16-3	0.0	train	1.0
9	0.0	0.35667494393873267	0.0	1.0	how much is 1 tablespoon of water	Q16	in countries where a tablespoon is a serving spoon the nearest equivalent to the us tablespoon is either the dessert spoon or the soup spoon 	D16-4	0.0	train	1.0
10	0.0	0.35667494393873267	0.0	1.0	how much is 1 tablespoon of water	Q16	a tablespoonful nominally the capacity of one tablespoon is commonly used as a measure of volume in cooking 	D16-5	0.0	train	1.0
11	0.0	0.0	0.0	0.0	how much is 1 tablespoon of water	Q16	it is abbreviated as t tb tbs tbsp tblsp or tblspn	D16-6	0.0	train	0.0
12	0.0	0.0	0.0	1.0	how much is 1 tablespoon of water	Q16	the capacity of ordinary tablespoons is not regulated by law and is subject to considerable variation	D16-7	0.0	train	0.0
13	0.0	0.35667494393873267	1.0	1.0	how much is 1 tablespoon of water	Q16	in the usa one tablespoon measurement unit is approximately 15 ml the capacity of an actual tablespoon dining utensil ranges from 7 ml to 14 ml	D16-8	0.0	train	1.0
14	0.0	0.35667494393873267	1.0	1.0	how much is 1 tablespoon of water	Q16	in australia one tablespoon measurement unit is 20 ml	D16-9	0.0	train	1.0
15	1.0	1.8325814637483102	0.0	2.0	how much are the harry potter movies worth	Q17	harry potter is a series of seven fantasy novels written by the british author j k rowling 	D17-0	0.0	train	2.0
16	1.0	1.8325814637483102	0.0	2.0	how much are the harry potter movies worth	Q17	the books chronicle the adventures of a wizard  harry potter  and his friends ronald weasley and hermione granger  all of whom are students at hogwarts school of witchcraft and wizardry 	D17-1	0.0	train	2.0
17	1.0	1.8325814637483102	0.0	2.0	how much are the harry potter movies worth	Q17	the main story arc concerns harrys quest to overcome the dark wizard lord voldemort  whose aims are to become immortal conquer the wizarding world  subjugate nonmagical people and destroy all those who stand in his way especially harry potter	D17-2	0.0	train	2.0
18	1.0	1.8325814637483102	0.0	2.0	how much are the harry potter movies worth	Q17	since the release of the first novel harry potter and the philosophers stone on 30 june 1997 the books have gained immense popularity critical acclaim and commercial success worldwide	D17-3	0.0	train	2.0
19	0.0	0.0	0.0	0.0	how much are the harry potter movies worth	Q17	the series has also had some share of criticism including concern for the increasingly dark tone	D17-4	0.0	train	0.0
20	0.0	0.0	0.0	0.0	how much are the harry potter movies worth	Q17	 the book series has sold about 450 million copies making it the bestselling book series in history  and has been translated into 67 languages 	D17-5	0.0	train	0.0
21	0.0	0.0	0.0	0.0	how much are the harry potter movies worth	Q17	the last four books consecutively set records as the fastestselling books in history	D17-6	0.0	train	0.0
22	0.0	0.0	0.0	0.0	how much are the harry potter movies worth	Q17	a series of many genres  including fantasy and coming of age with elements of mystery  thriller  adventure  and romance  it has many cultural meanings and references	D17-7	0.0	train	0.0
23	0.0	0.0	0.0	0.0	how much are the harry potter movies worth	Q17	according to rowling the main theme is death	D17-8	0.0	train	0.0
24	0.0	0.0	0.0	0.0	how much are the harry potter movies worth	Q17	there are also many other themes in the series such as prejudice and corruption	D17-9	0.0	train	0.0
25	0.0	0.0	0.0	0.0	how much are the harry potter movies worth	Q17	the initial major publishers of the books were bloomsbury in the united kingdom and scholastic press in the united states	D17-10	0.0	train	0.0
26	0.0	0.0	0.0	0.0	how much are the harry potter movies worth	Q17	the books have since been published by many publishers worldwide	D17-11	0.0	train	0.0
27	0.0	0.0	0.0	0.0	how much are the harry potter movies worth	Q17	the books with the seventh book split into two parts have been made into an eightpart film series by warner bros pictures  the highestgrossing film series of all time	D17-12	0.0	train	0.0
28	2.0	7.248681865952731	1.0	4.0	how much are the harry potter movies worth	Q17	the series also originated much tiein merchandise making the harry potter brand worth in excess of 15 billion	D17-13	1.0	train	4.0
29	1.0	1.8325814637483102	0.0	2.0	how much are the harry potter movies worth	Q17	also due to the success of the books and films harry potter has been used for a theme park the wizarding world of harry potter in universal parks  resorts s islands of adventure 	D17-14	0.0	train	2.0
30	0.0	0.0	0.0	0.0	how a rocket engine works	Q18	rs68 being tested at nasas stennis space center	D18-0	0.0	train	0.0
31	0.0	0.0	0.0	1.0	how a rocket engine works	Q18	the nearly transparent exhaust is due to this engines exhaust being mostly superheated steam water vapor from its propellants hydrogen and oxygen	D18-1	0.0	train	0.0
32	1.0	1.6739764335716711	0.0	2.0	how a rocket engine works	Q18	viking 5c rocket engine	D18-2	0.0	train	2.0
33	2.0	1.6739764335716711	1.0	2.0	how a rocket engine works	Q18	a rocket engine or simply rocket is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet 	D18-3	1.0	train	2.0
34	0.0	0.2876820724517808	0.0	2.0	how a rocket engine works	Q18	rocket engines are reaction engines and obtain thrust in accordance with newtons third law 	D18-4	0.0	train	1.0
35	0.0	0.2876820724517808	0.0	2.0	how a rocket engine works	Q18	since they need no external material to form their jet rocket engines can be used for spacecraft propulsion as well as terrestrial uses such as missiles 	D18-5	0.0	train	1.0
36	0.0	0.2876820724517808	0.0	2.0	how a rocket engine works	Q18	most rocket engines are internal combustion engines  although noncombusting forms also exist	D18-6	0.0	train	1.0
37	0.0	0.2876820724517808	0.0	2.0	how a rocket engine works	Q18	rocket engines as a group have the highest exhaust velocities are by far the lightest but are the least propellant efficient of all types of jet engines	D18-7	0.0	train	1.0
38	0.0	1.5040773967762742	0.0	1.0	how are cholera and typhus transmitted and prevented	Q21	cholera is an infection in the small intestine caused by the bacterium vibrio cholerae 	D21-0	0.0	train	1.0
39	0.0	0.0	0.0	0.0	how are cholera and typhus transmitted and prevented	Q21	the main symptoms are watery diarrhea and vomiting 	D21-1	0.0	train	0.0
40	0.0	0.0	1.0	0.0	how are cholera and typhus transmitted and prevented	Q21	transmission occurs primarily by drinking water or eating food that has been contaminated by the feces waste product of an infected person including one with no apparent symptoms	D21-2	0.0	train	0.0
