	AntonymCount	BigramCount	HypernymCount	HyponymCount	IDFUnigramCount	Label	LemmaCount	LevenshteinEditDistance	NegativeSimilarity	PositiveSimilarity	Question	QuestionID	QuestionType	Sentence	SentenceID	SynonymCount	TrigramCount	Type	UnigramCount
0	0	0	0	0	0.223143551	0	2	5	0.365386453	0.342388212	how are glacier caves formed	Q1	DESC	a partly submerged glacier cave on perito moreno glacier 	D1-0	0	0	train	1
1	0	0	0	0	0	0	0	6	0.385187167	0.468112088	how are glacier caves formed	Q1	DESC	the ice facade is approximately 60 m high	D1-1	0	0	train	0
2	0	0	1	0	0.223143551	0	2	4	0.473882605	0.536658274	how are glacier caves formed	Q1	DESC	ice formations in the titlis glacier cave	D1-2	0	0	train	1
3	0	0	0	0	1.832581464	1	3	4	0.395776447	0.479220407	how are glacier caves formed	Q1	DESC	a glacier cave is a cave formed within the ice of a glacier 	D1-3	0	0	train	2
4	0	1	0	0	1.832581464	0	2	13	0.572704149	0.608742652	how are glacier caves formed	Q1	DESC	glacier caves are often called ice caves  but this term is properly used to describe bedrock caves that contain yearround ice	D1-4	0	0	train	2
5	0	0	0	0	0.356674944	1	1	4	0.229589312	0.348519708	how much is 1 tablespoon of water	Q16	NUM	this tablespoon has a capacity of about 15 ml	D16-0	0	0	train	1
6	0	0	1	0	0	0	0	4	0.25605849	0.192241131	how much is 1 tablespoon of water	Q16	NUM	measuring spoons	D16-1	0	0	train	0
7	0	0	1	0	0.356674944	0	1	9	0.512310631	0.514957174	how much is 1 tablespoon of water	Q16	NUM	in the us and parts of canada a tablespoon is the largest type of spoon used for eating from a bowl	D16-2	0	0	train	1
8	0	0	1	0	0.356674944	0	1	10	0.463579253	0.393331339	how much is 1 tablespoon of water	Q16	NUM	in the uk europe and most commonwealth countries a tablespoon is a type of large spoon usually used for serving	D16-3	0	0	train	1
9	0	0	1	0	0.356674944	0	1	12	0.391783075	0.35142227	how much is 1 tablespoon of water	Q16	NUM	in countries where a tablespoon is a serving spoon the nearest equivalent to the us tablespoon is either the dessert spoon or the soup spoon 	D16-4	0	0	train	1
10	0	0	0	0	0.356674944	0	1	9	0.371631317	0.36365871	how much is 1 tablespoon of water	Q16	NUM	a tablespoonful nominally the capacity of one tablespoon is commonly used as a measure of volume in cooking 	D16-5	1	0	train	1
11	0	0	0	0	0	0	0	6	0.24141681	0.234296305	how much is 1 tablespoon of water	Q16	NUM	it is abbreviated as t tb tbs tbsp tblsp or tblspn	D16-6	0	0	train	0
12	0	0	0	0	0	0	1	7	0.474781121	0.331454335	how much is 1 tablespoon of water	Q16	NUM	the capacity of ordinary tablespoons is not regulated by law and is subject to considerable variation	D16-7	0	0	train	0
13	0	0	0	0	0.356674944	1	1	17	0.353608427	0.51020803	how much is 1 tablespoon of water	Q16	NUM	in the usa one tablespoon measurement unit is approximately 15 ml the capacity of an actual tablespoon dining utensil ranges from 7 ml to 14 ml	D16-8	1	0	train	1
14	0	0	0	0	0.356674944	1	1	6	0.331314482	0.327938264	how much is 1 tablespoon of water	Q16	NUM	in australia one tablespoon measurement unit is 20 ml	D16-9	1	0	train	1
